"","logFC","logCPM","LR","PValue","FDR"
"hsa-miR-4521",-8.88212999777309,8.44029352642506,549.978638589755,1.27243937384385e-121,8.19450956755439e-119
"hsa-miR-4488",6.42378820389216,8.09139405241601,507.283879286936,2.47267948603842e-112,7.96202794504372e-110
"hsa-miR-5701",-4.36822143472975,8.82985403135847,403.525003398123,9.4100954714854e-90,2.02003382787887e-87
"hsa-miR-3182",4.64177811075434,9.53422202054966,383.914369741511,1.74885085023524e-85,2.81564986887874e-83
"hsa-miR-4497",4.43921174860083,8.02420821037741,347.45607595076,1.51747240978237e-77,1.95450446379969e-75
"hsa-miR-7974",-8.39502468606449,7.17833169040247,328.129572158725,2.45568408928296e-73,2.63576758916371e-71
"hsa-miR-7704",5.21294692704665,9.86197214255019,305.806713840349,1.78946680054275e-68,1.64630945649933e-66
"hsa-miR-3135b",5.44223736426804,6.86751536454519,275.217017882442,8.27794238525702e-62,6.6637436201319e-60
"hsa-miR-185-5p",-2.90847739321449,9.73206284661127,220.139012844583,8.4345397193271e-50,6.0353817547185e-48
"hsa-miR-3960",5.7467278853112,5.3994676418561,201.27930663924,1.09815310635419e-45,7.07210600492101e-44
"hsa-miR-619-5p",2.89336753000191,8.71664487027559,195.5067713906,1.99714455320327e-44,1.16923735660264e-42
"hsa-miR-4516",4.59131525633306,5.64408617723677,181.083327962263,2.81118682029104e-41,1.50867026022286e-39
"hsa-miR-10395-3p",-5.63077313403815,6.29874653465699,179.421025830329,6.48387999184515e-41,3.21201439596021e-39
"hsa-miR-4448",3.99465845609116,9.9474362353586,179.134258120285,7.48944019108341e-41,3.44514248789837e-39
"hsa-miR-103a-3p",-2.0863515583694,11.9437977323599,169.902681183814,7.77001616883971e-39,3.33592694182185e-37
"hsa-miR-1268a",-4.69826579199136,6.17370910128028,153.494597832389,2.98662283131535e-35,1.20211568960443e-33
"hsa-miR-1268b",-4.34271938784996,6.30697160503698,150.985066212811,1.05597161765299e-34,4.00026895157957e-33
"hsa-miR-1275",-4.45720249940355,6.26815349482801,147.96059014252,4.83889198028584e-34,1.73124801961338e-32
"hsa-miR-103b",-2.04055574305808,11.9934486164888,146.861083835984,8.41587131842108e-34,2.85253743634904e-32
"hsa-miR-12135",-9.14120419714506,5.67415167215168,143.637710305099,4.26383800412371e-33,1.37295583732783e-31
"hsa-miR-3184-3p",2.25603224454243,11.2897093101892,142.238286328002,8.62539465839071e-33,2.64512102857315e-31
"hsa-miR-5100",3.49361603296261,6.15375033981224,140.552842261237,2.01521580922732e-32,5.89908627791999e-31
"hsa-miR-423-5p",2.2023132036106,11.3052716189602,139.46487343461,3.48525935754856e-32,9.75872620113597e-31
"hsa-miR-3195",4.71967506142149,5.11501939177541,139.205810527953,3.97089164593131e-32,1.06552259165823e-30
"hsa-miR-106a-5p",-3.48118466805241,6.56963770230916,137.853362065314,7.84619199540608e-32,2.02117905801661e-30
"hsa-miR-4492",4.81361947085943,4.86603665728495,135.64220581321,2.38928026914611e-31,5.7972544575199e-30
"hsa-miR-20a-5p",-1.71176253906175,11.458519214969,135.608221838093,2.43052593715896e-31,5.7972544575199e-30
"hsa-miR-122b-3p",6.54002139750127,4.79600232127409,131.587128110242,1.84209313259445e-30,4.23681420496724e-29
"hsa-miR-374a-3p",-2.24067385627429,7.58262919704859,110.770548407632,6.64313466622153e-26,1.47523404311954e-24
"hsa-miR-221-5p",-1.82142430692793,11.1108708194414,109.958587034953,1.00059443978287e-25,2.1479427307339e-24
"hsa-miR-122-5p",5.28002647315799,4.96466681411386,104.475492125226,1.59149820602162e-24,3.30620917638039e-23
"hsa-let-7a-3p",-1.91043649022427,8.1075544182182,103.698142445943,2.35612026051851e-24,4.7416920242935e-23
"hsa-miR-1260a",-3.23699293034896,5.96213273078196,88.5476974168165,4.9623789373944e-21,9.68415768388482e-20
"hsa-miR-4284",1.91531637732602,7.95000698310176,88.0163660874366,6.49151280357739e-21,1.22956889573642e-19
"hsa-miR-12136",1.91452688111797,7.53554170832222,83.2234569236185,7.3282943545427e-20,1.34840616123586e-18
"hsa-miR-17-5p",-1.29083859199141,10.5880400180585,78.3569496605396,8.60062420959597e-19,1.5385561086055e-17
"hsa-miR-21-3p",-1.66953014323324,7.74946798425857,74.2432317666188,6.90611941466159e-18,1.20203808190326e-16
"hsa-miR-1246",2.02524369535302,9.83056804207534,70.08447497283,5.68183920979341e-17,9.62922223975515e-16
"hsa-miR-671-5p",-1.95614469813695,6.851009028989,62.0037784867723,3.42798918393944e-15,5.6605770114282e-14
"hsa-miR-3196",3.86693530324438,4.14014444476837,60.8354133418585,6.20515796872412e-15,9.99030432964583e-14
"hsa-miR-4634",6.18140762002741,3.77440205802159,59.4996574994757,1.22315408823758e-14,1.92124690932927e-13
"hsa-miR-3917",4.54595586695879,3.74703228571274,59.3927186814145,1.29146046182921e-14,1.98023937480478e-13
"hsa-miR-8485",2.1066808492603,6.11484205588317,58.3998991458223,2.13901972383169e-14,3.2035551212735e-13
"hsa-miR-1260b",-1.88191860899153,6.47529511788773,56.755051120971,4.93621323904543e-14,7.22482119533013e-13
"hsa-miR-200a-5p",-1.51087062009846,8.87381687817526,56.6616150870572,5.17641925054805e-14,7.40803110522876e-13
"hsa-miR-155-5p",3.73685460802124,5.17506465983348,55.177883002996,1.10100670756669e-13,1.54140939059337e-12
"hsa-miR-31-5p",-1.30979171125516,10.711818694353,54.7950104323608,1.3377997974517e-13,1.83307036076361e-12
"hsa-miR-181b-3p",-3.46971341647788,5.11177677742578,49.9243197491203,1.59791780280563e-12,2.14387305209756e-11
"hsa-miR-3662",-4.43598503259446,4.43178562461228,47.9946165635888,4.27391026670321e-12,5.61713920766707e-11
"hsa-miR-4443",1.96516838320038,5.6818486177777,46.2096053790355,1.06254781619368e-11,1.36856158725747e-10
"hsa-miR-30c-2-3p",-1.08531651982442,9.23446017531333,44.8067928260356,2.17466956598427e-11,2.74605333430171e-10
"hsa-miR-10394-3p",5.62129266181414,3.30361550954246,44.6282409167585,2.38230486886776e-11,2.95039295298239e-10
"hsa-let-7g-5p",-1.06720785730305,12.1084681724151,44.2583651584443,2.87772042870162e-11,3.49670180393178e-10
"hsa-let-7b-5p",1.07249598229469,9.72912449801865,43.9597369154248,3.35200677603082e-11,3.99757845141453e-10
"hsa-miR-26b-5p",-1.10598766978443,10.4318522359056,43.7203401798974,3.7881417149484e-11,4.43556957168503e-10
"hsa-miR-4485-3p",1.52259706894029,7.64865423986876,43.1320879115556,5.11661840893432e-11,5.88411117027447e-10
"hsa-miR-139-5p",1.54827567512318,6.31158049331527,42.0092434784335,9.0842980942462e-11,1.02636631099904e-09
"hsa-miR-148b-3p",-0.936021220587823,11.3919115262585,40.7231737728295,1.75394792347201e-10,1.94748700468271e-09
"hsa-miR-10395-5p",-4.223710044857,4.2515273754446,39.2866481166444,3.6593509355217e-10,3.99427458046776e-09
"hsa-miR-200b-3p",-0.890823162032144,12.6540345275113,39.1581758511064,3.90823229590115e-10,4.19483599760056e-09
"hsa-miR-1180-3p",0.983177206165904,10.2531019868177,38.3293387840897,5.97574364591185e-10,6.30881788191349e-09
"hsa-miR-374b-3p",-1.89362293796658,5.81019236855312,37.0604586003054,1.14522668754865e-09,1.18955804319569e-08
"hsa-miR-19a-3p",-1.19311572747473,7.54963162153098,36.8563817252096,1.27159180166797e-09,1.29984939726059e-08
"hsa-miR-3605-5p",3.2493581944715,3.55131146075079,36.812355357162,1.30063363805845e-09,1.30876259829632e-08
"hsa-miR-150-5p",6.94325213719059,4.28057552046259,36.6205697372211,1.43509359494502e-09,1.42184657714553e-08
"hsa-miR-935",1.57301168430156,7.12405722238773,36.4647929696369,1.5544885957643e-09,1.51680402374578e-08
"hsa-miR-5787",6.13542538420675,2.49039927924955,34.6349080070828,3.97709997220261e-09,3.82276474940072e-08
"hsa-miR-29b-1-5p",-1.71126515347028,6.15291886467242,32.9526858333692,9.44292015736137e-09,8.94300085491282e-08
"hsa-miR-455-5p",-0.881727658934806,10.5303081538507,32.8564571578586,9.92209509150205e-09,9.26062208540191e-08
"hsa-miR-663a",-6.86144386209185,3.70672604769655,32.6504549969733,1.10313589865936e-08,1.01488502676661e-07
"hsa-miR-27b-5p",-1.95690781536846,5.25626091297537,30.9505488846334,2.64687215601565e-08,2.40082488517476e-07
"hsa-miR-130b-5p",-1.45220835159029,8.49932960185324,30.6827715736977,3.03851006249098e-08,2.7177784447836e-07
"hsa-miR-5585-3p",1.36556976269964,7.91239694934748,30.394792024357,3.5247319791459e-08,3.10948958160269e-07
"hsa-miR-574-5p",1.3860585674989,6.35950812782053,30.0398125655878,4.23266328057556e-08,3.66228657689635e-07
"hsa-miR-671-3p",-0.991979541762058,8.3186112489667,30.0250153542582,4.26508529918053e-08,3.66228657689635e-07
"hsa-miR-340-5p",-1.07750244708356,8.4007849262001,29.5815085164177,5.36139823222494e-08,4.54307955467482e-07
