,Unnamed: 0,logCPM,logFC,negLog10Pvalue
1,hsa-miR-4488,8.09139405241601,6.423788203892161,109.09897630246694
3,hsa-miR-3182,9.53422202054966,4.641778110754339,82.55042135147168
4,hsa-miR-4497,8.024208210377411,4.43921174860083,74.70896333336611
6,hsa-miR-7704,9.86197214255019,5.212946927046651,65.78348852719293
7,hsa-miR-3135b,6.8675153645451905,5.442237364268039,59.17628172026031
9,hsa-miR-3960,5.399467641856099,5.7467278853112,43.150451238237174
10,hsa-miR-619-5p,8.71664487027559,2.8933675300019104,41.93209731758144
11,hsa-miR-4516,5.644086177236769,4.5913152563330595,38.82140567063801
13,hsa-miR-4448,9.9474362353586,3.99465845609116,38.46279281136788
20,hsa-miR-3184-3p,11.289709310189199,2.25603224454243,30.577554451856034
21,hsa-miR-5100,6.15375033981224,3.4936160329626103,30.229215251949086
22,hsa-miR-423-5p,11.3052716189602,2.2023132036106,30.01060686675142
23,hsa-miR-3195,5.1150193917754105,4.719675061421491,29.972437337757857
37,hsa-miR-1246,9.83056804207534,2.02524369535302,15.016408789783407
42,hsa-miR-8485,6.11484205588317,2.1066808492603,12.494367799014412
45,hsa-miR-155-5p,5.175064659833481,3.73685460802124,11.812081999527733
